published_date,country,title,deadline,url,description,funding_agency,reference_number,document_links
"Jan 22, 2025",Benin,"Marché de Services relatif au renforcement de capacités communautaires (Education, formation et sensibilisation) et à la mise en place de mécanismes intégrés de prévention, d'accompagnement et de protection des victimes ou survivantes de VBG","Mar 5, 2025",https://tenders-afd.dgmarket.com/tender/90132553,N/A,N/A,N/A,[]
"Jan 22, 2025",Côte d'Ivoire,AVIS DE PUBLICATION DE RESULTATS_AOI N° F 68/2024 ACQUISITION D’EQUIPEMENTS ET DE MATIERES D’ŒUVRES POUR LE LYCEE PROFESSIONNEL SECTORIEL DE DAOUKRO,,https://tenders-afd.dgmarket.com/tender/90132554,N/A,N/A,N/A,[]
