publish_date,country,title,sector,url
28-Feb-2025,Kenya,GPN - Kenya - Kenya - South Sudan Road Corridor Lesseru-Kitale and Morpus-Lokichar Road Upgrading Project Phase 1,Procurement notices - Transport - Project-related Procurement - General Procurement Notices,https://www.afdb.org/en/documents/gpn-kenya-kenya-south-sudan-road-corridor-lesseru-kitale-and-morpus-lokichar-road-upgrading-project-phase-1
28-Feb-2025,Junior Consultant to Support the Implementation of the Multi,Contract Awards - Junior Consultant to Support the Implementation of the Multi-Donor Gender Equality Trust Fund (GETF) of the Affirmative Finance Action for Women in Africa (AFAWA) Initiative - AHGC,Gender - Procurement notices - Project-related Procurement - Contract Awards,https://www.afdb.org/en/documents/contract-awards-junior-consultant-support-implementation-multi-donor-gender-equality-trust-fund-getf-affirmative-finance-action-women-africa-afawa-initiative-ahgc
28-Feb-2025,Liberia,"SPN - Liberia - Construction Works for a 4.27km non-existing Access Road to the Buchanan SEZ/SAPZ Site, Construction of perimeter fencing with a signature gate, and Site grading for the 210-ha piece of land for the SAPZ",Agriculture & Agro-industries - Liberia - P-LR-AA0-009 - Procurement notices - Project-related Procurement - Invitation for Bids - Specific Procurement Notices,https://www.afdb.org/en/documents/spn-liberia-construction-works-427km-non-existing-access-road-buchanan-sez/sapz-site-construction-perimeter-fencing-signature-gate-and-site-grading-210-ha-piece-land-sapz
28-Feb-2025,RCA,PPM - RCA - Projet d'appui au dialogue public-privé (simplifié) - PADPP,Central African Republic - Partnerships - Procurement notices - Project-related Procurement - Procurement plans,https://www.afdb.org/en/documents/ppm-rca-projet-dappui-au-dialogue-public-prive-simplifie-padpp
28-Feb-2025,Mozambique,"EOI - Mozambique - Branding, Marketing & Investment Promotion Strategy - SAPZ AGRI-HUB",Agriculture & Agro-industries - Mozambique - P-MZ-AA0-039 - Procurement notices - Project-related Procurement - Request for Expression of Interest,https://www.afdb.org/en/documents/eoi-mozambique-branding-marketing-investment-promotion-strategy-sapz-agri-hub
28-Feb-2025,Angola,PPM - Angola - Coastal Towns Inclusive Sanitation Project (simplified) - CTISP,Angola - Energy & Power - P-AO-E00-006 - Procurement notices - Project-related Procurement - Procurement plans,https://www.afdb.org/en/documents/ppm-angola-coastal-towns-inclusive-sanitation-project-simplified-ctisp
