issue_date,country,title,sector,notice_type,download_link
"Jan 22, 2025",China,Hubei Global Air Cargo Logistics Project,Transport,General Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/China/EN-202500121_GPN_AIIB_Hubei-Global-Air-Logistics-Project.pdf
"Jan 20, 2025",Indonesia,Modernization of the Health System,Health Infrastructure,Specific Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Indonesia/SPN_IRW.pdf
"Jan 16, 2025",Tajikistan,Tajikistan: Obigarm-Nurobod Road Project–Long Bridge and Approach Roads,Transport,Contract Award Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Tajikistan/Obigarm-Nurobod-Road-Project-Long-Bridge-and-Approaches_Contract_AwardConsulting-Services-2.pdf
"Jan 13, 2025",Türkiye,Istanbul Seismic Mitigation and Emergency Preparedness Additional Financing Project,Urban,Contract Award Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Turkey/Istanbul-Seismic-Mitigation-and-Emergency-Preparedness-Additional-Financing-Project_Contract_AwardGoods_Works_NCS.pdf
"Jan 9, 2025",India,Assam Intra State Transmission System Enhancement,Energy,Contract Award Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/India/Assam-Intra-State-Transmission-System-Enhancement_Contract_AwardGoods_Works_NCS.pdf
"Dec 13, 2024",Pakistan,"Reconstruction of National Highway N-5 under Pakistan’s Resilient Recovery, Rehabilitation and Reconstruction Framework Project",Transport,Request for Expressions of Interest,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Pakistan/6650-REOI-Notice.pdf
"Dec 13, 2024",India,Chennai Peripheral Ring Road (Sections 2 and 3),Transport,Contract Award Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/India/Contract-Award-Notice-EPC-03.pdf
"Dec 13, 2024",India,Chennai Peripheral Ring Road (Sections 2 and 3),Transport,Contract Award Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/India/Contract-Award-Notice-EPC-05.pdf
"Dec 13, 2024",Philippines,Facility for Accelerating Studies for Infrastructure (FAST-Infra),Transport,Revised Request for Expressions of Interest,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Philippines/PTSMP_Revised-REOI_v06-Addendum-1_V4_12Dec2024_MPBDTSigned_AIIB.pdf
"Dec 10, 2024",India,Mumbai Metro Line 5,Transport,Addendum to Tender Document,https://www.aiib.org/en/opportunities/business/project-procurement/_download/India/Corrigendum-No.-7-CA241.pdf
"Dec 10, 2024",Pakistan,"Reconstruction of National Highway N-5 under Pakistan’s Resilient Recovery, Rehabilitation and Reconstruction Framework Project",Transport,Request for Expressions of Interest,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Pakistan/REOI-Air-Quality.pdf
"Dec 9, 2024",India,India: Assam Intra State Transmission System Enhancement Phase II,Energy,General Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/India/GPN_final_P2.pdf
"Dec 6, 2024",Cambodia,Urban Infrastructure Development Project,Urban,Request for Expressions of Interest,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Cambodia/REOI-Consulting-Firm-PROCUREMENT.pdf
"Dec 2, 2024",Uzbekistan,Bukhara Region Water Supply and Sewerage,Water,Amendment to Tender Document,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Uzbekistan/Eng-SPN-BWSP-W-RFB-27proc.pdf
"Dec 2, 2024",Pakistan,"Reconstruction of National Highway N-5 under Pakistan’s Resilient Recovery, Rehabilitation and Reconstruction Framework Project",Transport,Request for Expressions of Interest,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Pakistan/Corrigendum-I-Climate-AIIB.pdf
"Dec 2, 2024",Cambodia,Urban Sustainable Water Supply Development,Water,Request for Expressions of Interest,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Cambodia/20241111_Final-Draft-REOI_MISTI-USWSDP-CS-01_AIIB_clean.pdf
"Nov 25, 2024",Lao PDR,Climate Resilience Improvement of National Road 13 South Project (Section 3),Transport,Specific Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Lao-pdr/SPN-4-Bridges-NR13S.pdf
"Nov 21, 2024",India,India: Mumbai Metro Line 5,Transport,Addendum to Tender Document,https://www.aiib.org/en/opportunities/business/project-procurement/_download/india/Corrigendum-6-CA-241-15.11.2024.pdf
"Nov 20, 2024",Philippines,Facility for Accelerating Studies for Infrastructure (FAST-Infra),Transport,Request for Expressions of Interest,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Philippines/REOI-for-PTSMP_Final.pdf
"Nov 19, 2024",Türkiye,Istanbul Seismic Mitigation and Emergency Preparedness Additional Financing Project,Urban,Amendment to Tender Document,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Turkey/AF-AIIB-GA1-1_SPN_rev2.pdf
"Nov 15, 2024",Georgia,Tbilisi Metro Modernization Project,Transport,Specific Procurement Notice,https://www.aiib.org/en/opportunities/business/project-procurement/_download/Georgia/FINAL-Specific-Procurement-Notice.pdf
